Time	X1	X2
1.25	0.015625	-0.033179
1.26	0.017576	0.016814
1.27	0.019683	0.066765
1.28	0.021952	0.11655
1.29	0.024389	0.16604
1.3	0.027	0.21512
1.31	0.029791	0.26366
1.32	0.032768	0.31154
1.33	0.035937	0.35864
1.34	0.039304	0.40485
1.35	0.042875	0.45004
1.36	0.046656	0.49411
1.37	0.050653	0.53695
1.38	0.054872	0.57844
1.39	0.059319	0.61849
1.4	0.064	0.65699
1.41	0.068921	0.69384
1.42	0.074088	0.72897
1.43	0.079507	0.76227
1.44	0.085184	0.79367
1.45	0.091125	0.82308
1.46	0.097336	0.85044
1.47	0.10382	0.87567
1.48	0.11059	0.89871
1.49	0.11765	0.9195
1.5	0.125	0.938
1.51	0.13265	0.95415
1.52	0.14061	0.96792
1.53	0.14888	0.97927
1.54	0.15746	0.98817
1.55	0.16638	0.9946
1.56	0.17562	0.99854
1.57	0.18519	0.99999
1.58	0.19511	0.99894
1.59	0.20538	0.99539
1.6	0.216	0.98936
1.61	0.22698	0.98085
1.62	0.23833	0.96989
1.63	0.25005	0.95651
1.64	0.26214	0.94073
1.65	0.27462	0.9226
1.66	0.2875	0.90217
1.67	0.30076	0.87948
1.68	0.31443	0.8546
1.69	0.32851	0.82758
1.7	0.343	0.79849
1.71	0.35791	0.7674
1.72	0.37325	0.7344
1.73	0.38902	0.69956
1.74	0.40522	0.66297
1.75	0.42188	0.62472
1.76	0.43898	0.58492
1.77	0.45653	0.54365
1.78	0.47455	0.50102
1.79	0.49304	0.45714
1.8	0.512	0.41212
1.81	0.53144	0.36607
1.82	0.55137	0.3191
1.83	0.57179	0.27133
1.84	0.5927	0.22289
1.85	0.61413	0.17389
1.86	0.63606	0.12445
1.87	0.6585	0.074708
1.88	0.68147	0.024775
1.89	0.70497	-0.025219
1.9	0.729	-0.075151
1.91	0.75357	-0.1249
1.92	0.77869	-0.17433
1.93	0.80436	-0.22332
1.94	0.83058	-0.27176
1.95	0.85737	-0.31952
1.96	0.88474	-0.36648
1.97	0.91267	-0.41252
1.98	0.94119	-0.45754
1.99	0.9703	-0.50141
2	1	-0.54402
