Time	X1	X2	X3
0.65	-0.19113	-0.10279	-0.09413
0.66	-0.18518	-0.14986	-0.13692
0.67	-0.17951	-0.19656	-0.17918
0.68	-0.17409	-0.24276	-0.22079
0.69	-0.16892	-0.28836	-0.26165
0.7	-0.164	-0.33324	-0.30167
0.71	-0.15932	-0.37729	-0.34075
0.72	-0.15487	-0.42039	-0.3788
0.73	-0.15065	-0.46245	-0.41572
0.74	-0.14666	-0.50334	-0.45142
0.75	-0.14288	-0.54298	-0.48583
0.76	-0.1393	-0.58126	-0.51886
0.77	-0.13594	-0.61809	-0.55043
0.78	-0.13277	-0.65338	-0.58047
0.79	-0.12979	-0.68703	-0.60892
0.8	-0.127	-0.71896	-0.63571
0.81	-0.12439	-0.7491	-0.66078
0.82	-0.12195	-0.77736	-0.68408
0.83	-0.11968	-0.80368	-0.70555
0.84	-0.11758	-0.828	-0.72515
0.85	-0.11563	-0.85024	-0.74284
0.86	-0.11382	-0.87036	-0.75859
0.87	-0.11217	-0.8883	-0.77235
0.88	-0.11065	-0.90402	-0.78412
0.89	-0.10926	-0.91748	-0.79387
0.9	-0.108	-0.92865	-0.80157
0.91	-0.10686	-0.9375	-0.80724
0.92	-0.10583	-0.94401	-0.81085
0.93	-0.10491	-0.94815	-0.81242
0.94	-0.1041	-0.94993	-0.81194
0.95	-0.10338	-0.94933	-0.80943
0.96	-0.10274	-0.94636	-0.8049
0.97	-0.1022	-0.94102	-0.79838
0.98	-0.10173	-0.93333	-0.78989
0.99	-0.10133	-0.92331	-0.77947
1	-0.101	-0.91098	-0.76714
1.01	-0.10073	-0.89637	-0.75295
1.02	-0.10051	-0.87952	-0.73695
1.03	-0.10034	-0.86048	-0.71918
1.04	-0.10022	-0.83928	-0.6997
1.05	-0.10013	-0.81599	-0.67856
1.06	-0.10006	-0.79065	-0.65583
1.07	-0.10003	-0.76334	-0.63157
1.08	-0.10001	-0.73413	-0.60585
1.09	-0.1	-0.70307	-0.57874
1.1	-0.1	-0.67026	-0.55032
1.11	-0.099999	-0.63578	-0.52067
1.12	-0.099992	-0.5997	-0.48986
1.13	-0.099973	-0.56213	-0.45799
1.14	-0.099936	-0.52315	-0.42513
1.15	-0.099875	-0.48287	-0.39137
1.16	-0.099784	-0.44137	-0.35681
1.17	-0.099657	-0.39878	-0.32154
1.18	-0.099488	-0.35518	-0.28564
1.19	-0.099271	-0.3107	-0.24922
1.2	-0.099	-0.26544	-0.21236
1.21	-0.098669	-0.21952	-0.17516
1.22	-0.098272	-0.17305	-0.13771
1.23	-0.097803	-0.12615	-0.10013
1.24	-0.097256	-0.078935	-0.062483
1.25	-0.096625	-0.03152	-0.024884
1.26	-0.095904	0.015973	0.012577
1.27	-0.095087	0.063427	0.049807
1.28	-0.094168	0.11072	0.086713
1.29	-0.093141	0.15774	0.1232
1.3	-0.092	0.20436	0.15919
1.31	-0.090739	0.25048	0.19458
1.32	-0.089352	0.29596	0.22929
1.33	-0.087833	0.34071	0.26324
1.34	-0.086176	0.38461	0.29635
1.35	-0.084375	0.42754	0.32853
1.36	-0.082424	0.46941	0.35971
1.37	-0.080317	0.5101	0.38982
1.38	-0.078048	0.54952	0.41879
1.39	-0.075611	0.58756	0.44655
1.4	-0.073	0.62414	0.47303
1.41	-0.070209	0.65915	0.49818
1.42	-0.067232	0.69252	0.52194
1.43	-0.064063	0.72416	0.54426
1.44	-0.060696	0.75398	0.56509
1.45	-0.057125	0.78193	0.58439
1.46	-0.053344	0.80791	0.60211
1.47	-0.049347	0.83188	0.61822
1.48	-0.045128	0.85377	0.63269
1.49	-0.040681	0.87353	0.64549
1.5	-0.036	0.8911	0.6566
1.51	-0.031079	0.90644	0.666
1.52	-0.025912	0.91952	0.67367
1.53	-0.020493	0.9303	0.67961
1.54	-0.014816	0.93876	0.68381
1.55	-0.008875	0.94487	0.68627
1.56	-0.002664	0.94862	0.687
1.57	0.003823	0.94999	0.68599
1.58	0.010592	0.94899	0.68328
1.59	0.017649	0.94562	0.67886
1.6	0.025	0.93989	0.67276
1.61	0.032651	0.93181	0.66502
1.62	0.040608	0.9214	0.65565
1.63	0.048877	0.90868	0.64468
1.64	0.057464	0.89369	0.63217
1.65	0.066375	0.87647	0.61814
1.66	0.075616	0.85706	0.60265
1.67	0.085193	0.83551	0.58574
1.68	0.095112	0.81187	0.56745
1.69	0.10538	0.7862	0.54786
1.7	0.116	0.75856	0.527
1.71	0.12698	0.72903	0.50495
1.72	0.13833	0.69768	0.48176
1.73	0.15005	0.66458	0.45751
1.74	0.16214	0.62982	0.43226
1.75	0.17462	0.59349	0.40607
1.76	0.1875	0.55567	0.37903
1.77	0.20076	0.51647	0.3512
1.78	0.21443	0.47597	0.32266
1.79	0.22851	0.43428	0.29348
1.8	0.243	0.39151	0.26376
1.81	0.25791	0.34776	0.23355
1.82	0.27325	0.30314	0.20295
1.83	0.28902	0.25777	0.17203
1.84	0.30522	0.21175	0.14087
1.85	0.32188	0.1652	0.10955
1.86	0.33898	0.11823	0.078157
1.87	0.35653	0.070973	0.046767
1.88	0.37455	0.023537	0.01546
1.89	0.39304	-0.023958	-0.015686
1.9	0.412	-0.071394	-0.046594
1.91	0.43144	-0.11865	-0.077185
1.92	0.45137	-0.16561	-0.10739
1.93	0.47179	-0.21216	-0.13712
1.94	0.4927	-0.25817	-0.16632
1.95	0.51412	-0.30354	-0.19491
1.96	0.53606	-0.34816	-0.22282
1.97	0.5585	-0.3919	-0.24999
1.98	0.58147	-0.43466	-0.27635
1.99	0.60497	-0.47633	-0.30185
2	0.629	-0.51682	-0.32641
