Time	C	A	B	Soma	DistalExcitation	DistalInhibition	
0.0358	-0.01243757	-0.06	-0.05369756	-0.06	-0.04122612	-0.06	
0.036	-0.01222765	-0.05684917	-0.04921216	-0.06	-0.04176394	-0.06	
0.0362	-0.01208835	-0.05460675	-0.04563123	-0.05954308	-0.04220196	-0.06	
0.0364	-0.01198068	-0.05258809	-0.04281288	-0.0588438	-0.04255299	-0.06	
0.0366	-0.01190005	-0.05082949	-0.04056088	-0.05797854	-0.04282799	-0.06	
0.0368	-0.01183986	-0.04927105	-0.03874258	-0.05701511	-0.04303639	-0.06	
0.037	-0.01179555	-0.04788036	-0.03725651	-0.05600031	-0.04318634	-0.06	
0.0372	-0.01176365	-0.04663008	-0.03602689	-0.05496779	-0.04328493	-0.06	
0.0374	-0.01174145	-0.04549916	-0.03499673	-0.05394113	-0.04333832	-0.06	
0.0376	-0.01172697	-0.04447088	-0.03412308	-0.05293658	-0.04335192	-0.06	
0.0378	-0.01171864	-0.04353189	-0.03337345	-0.05196499	-0.04333045	-0.06	
0.038	-0.01171526	-0.04267139	-0.03272315	-0.05103337	-0.0432781	-0.06	
0.0382	-0.01171597	-0.04188052	-0.03215338	-0.05014583	-0.04319856	-0.06	
0.0384	-0.01172006	-0.04115196	-0.03164969	-0.04930448	-0.04309511	-0.06	
0.0386	-0.01172701	-0.04047953	-0.03120094	-0.04850999	-0.04297065	-0.06	
0.0388	-0.01173639	-0.03985799	-0.03079844	-0.04776201	-0.04282779	-0.06	
0.039	-0.01174791	-0.03928281	-0.03043536	-0.04705948	-0.04266885	-0.06	
0.0392	-0.0117613	-0.03875007	-0.03010632	-0.04640089	-0.04249592	-0.06	
0.0394	-0.0117764	-0.03825632	-0.02980698	-0.04578442	-0.04231086	-0.06	
0.0396	-0.01179305	-0.03779848	-0.02953381	-0.0452081	-0.04211536	-0.06	
0.0398	-0.01181112	-0.03737379	-0.02928395	-0.04466986	-0.04191094	-0.06	
0.04	-0.01183054	-0.03697978	-0.02905499	-0.04416759	-0.04169896	-0.06	
0.0402	-0.01185123	-0.03661421	-0.02884492	-0.04369923	-0.04148066	-0.06	
0.0404	-0.01187313	-0.03627504	-0.02865202	-0.04326276	-0.04125717	-0.06	
0.0406	-0.01189618	-0.0359604	-0.02847481	-0.04285622	-0.04102949	-0.06	
0.0408	-0.01192036	-0.03566856	-0.02831199	-0.04247775	-0.04079855	-0.06	
0.041	-0.01194563	-0.03539795	-0.02816243	-0.04212556	-0.04056517	-0.06	
0.0412	-0.01197198	-0.0351471	-0.02802512	-0.04179797	-0.0403301	-0.06	
0.0414	-0.01199937	-0.03491468	-0.02789916	-0.04149339	-0.04009403	-0.06	
0.0416	-0.01202779	-0.03469944	-0.02778373	-0.04121031	0	-0.06	
0.0418	-0.01076504	-0.03450022	-0.0276781	-0.04094733	-0.04078176	-0.06	
0.042	-0.01077502	-0.03431593	-0.02740796	-0.04070313	-0.04155026	-0.06	
0.0422	-0.0107831	-0.03405879	-0.02719607	-0.04047647	-0.04218475	-0.06	
0.0424	-0.01079273	-0.03383954	-0.02701477	-0.04025362	-0.04270342	-0.06	
0.0426	-0.01080326	-0.03363749	-0.02686012	-0.04003936	-0.04312168	-0.06	
0.0428	-0.01081462	-0.03345305	-0.02672649	-0.03983464	-0.04345261	-0.06	
0.043	-0.01082671	-0.0332839	-0.02661	-0.03964028	-0.04370738	-0.06	
0.0432	-0.01083944	-0.0331285	-0.02650763	-0.03945663	-0.0438956	-0.06	
0.0434	-0.01085276	-0.0329855	-0.02641704	-0.03928373	-0.04402553	-0.06	
0.0436	-0.01086662	-0.03285378	-0.02633641	-0.03912143	-0.04410432	-0.06	
0.0438	-0.01088099	-0.03273233	-0.02626432	-0.03896946	-0.04413822	-0.06	
0.044	-0.01089584	-0.03262031	-0.02619964	-0.03882742	-0.04413263	-0.06	
0.0442	-0.01091116	-0.03251696	-0.02614145	-0.03869488	-0.04409233	-0.06	
0.0444	-0.01092692	-0.03242161	-0.02608903	-0.03857138	-0.04402151	-0.06	
0.0446	-0.01094313	-0.03233366	-0.02604176	-0.03845644	-0.04392386	-0.06	
0.0448	-0.01095977	-0.03225257	-0.02599914	-0.03834958	-0.04380266	-0.06	
0.045	-0.01097686	-0.03217784	-0.02596075	-0.03825033	-0.04482812	-0.06	
0.0452	-0.01099437	-0.03210903	-0.02592622	-0.03815823	-0.0457742	-0.06	
0.0454	-0.01101231	-0.03204572	-0.02589523	-0.03807285	-0.04664842	-0.06	
0.0456	-0.0110307	-0.03198754	-0.02586752	-0.03799377	-0.04745749	-0.06	
0.0458	-0.01104951	-0.03193415	-0.02584284	-0.03792059	-0.04820735	-0.06	
0.046	-0.01106876	-0.03188523	-0.02582098	-0.03785292	-0.0489033	-0.06	
0.0462	-0.01108844	-0.03184047	-0.02580173	-0.03779044	-0.04955005	-0.06	
0.0464	-0.01110857	-0.03179961	-0.02578494	-0.03773278	-0.05015185	-0.06	
0.0466	-0.01112914	-0.03176239	-0.02577044	-0.03767965	-0.05071248	-0.06	
0.0468	-0.01115017	-0.03172858	-0.02575808	-0.03763075	-0.05123537	-0.06	
0.047	-0.01117166	-0.03169795	-0.02574775	-0.03758582	-0.05172357	-0.06	
0.0472	-0.0111936	-0.03167032	-0.0257393	-0.03754459	-0.05217985	-0.06	
0.0474	-0.01121601	-0.03164549	-0.02573265	-0.03750682	-0.05260674	-0.06	
0.0476	-0.01123889	-0.03162328	-0.02572768	-0.0374723	-0.05300649	-0.06	
0.0478	-0.01126225	-0.03160354	-0.02572431	-0.03744082	-0.05338116	-0.06	
0.048	-0.0112861	-0.03158612	-0.02572244	-0.03741218	-0.05373264	-0.06	
0.0482	-0.01131043	-0.03157086	-0.025722	-0.03738621	-0.05406263	-0.06	
0.0484	-0.01133526	-0.03155766	-0.02572291	-0.03736273	-0.05437268	-0.06	
0.0486	-0.01136058	-0.03154638	-0.02572511	-0.03734159	-0.05466421	-0.06	
0.0488	-0.01138643	-0.03153691	-0.02572853	-0.03732265	-0.05493852	-0.06	
0.049	-0.01141277	-0.03152915	-0.02573312	-0.03730577	-0.05519682	-0.06	
0.0492	-0.01143965	-0.031523	-0.02573881	-0.03729083	-0.05544019	-0.06	
0.0494	-0.01146707	-0.03151838	-0.02574557	-0.03727769	-0.05566964	-0.06	
0.0496	-0.01149502	-0.0315152	-0.02575336	-0.03726628	-0.0558861	-0.06	
0.0498	-0.01152351	-0.03151338	-0.02576211	-0.03725646	-0.05609041	-0.06	
0.05	-0.01155256	-0.03151285	-0.0257718	-0.03724817	-0.05628337	-0.06	
0.0502	-0.01158216	-0.03151355	-0.0257824	-0.0372413	-0.0564657	-0.06	
0.0504	-0.01161235	-0.03151541	-0.02579386	-0.03723578	-0.05663807	-0.06	
0.0506	-0.0116431	-0.03151838	-0.02580616	-0.03723153	-0.05680112	-0.06	
0.0508	-0.01167445	-0.03152241	-0.02581928	-0.03722848	-0.0569554	-0.06	
0.051	-0.01170638	-0.03152744	-0.02583318	-0.03722657	-0.05710147	-0.06	
0.0512	-0.01173893	-0.03153343	-0.02584785	-0.03722573	-0.05723982	-0.06	
0.0514	-0.01177209	-0.03154035	-0.02586326	-0.03722591	-0.0573709	-0.06	
0.0516	-0.01180587	-0.03154814	-0.0258794	-0.03722706	-0.05749515	-0.06	
0.0518	-0.01184028	-0.03155679	-0.02589624	-0.03722914	-0.05761299	-0.06	
0.052	-0.01187533	-0.03156625	-0.02591378	-0.03723209	-0.05772476	-0.06	
0.0522	-0.01191103	-0.03157649	-0.025932	-0.03723588	-0.05783083	-0.06	
0.0524	-0.0119474	-0.03158749	-0.02595088	-0.03724047	-0.05793152	-0.06	
0.0526	-0.01198442	-0.03159923	-0.02597041	-0.03724582	-0.05802713	-0.06	
0.0528	-0.01202214	-0.03161167	-0.0259906	-0.03725191	-0.05811796	-0.06	
0.053	-0.01206054	-0.0316248	-0.02601142	-0.03725869	-0.05820426	-0.06	
0.0532	-0.01209964	-0.0316386	-0.02603287	-0.03726615	-0.05828628	-0.06	
0.0534	-0.01213945	-0.03165305	-0.02605494	-0.03727426	-0.05836427	-0.06	
0.0536	-0.01217998	-0.03166814	-0.02607764	-0.03728299	-0.05843844	-0.06	
0.0538	-0.01222125	-0.03168385	-0.02610094	-0.03729233	-0.058509	-0.06	
0.054	-0.01226325	-0.03170017	-0.02612486	-0.03730225	-0.05857613	-0.06	
0.0542	-0.01230601	-0.03171709	-0.02614938	-0.03731274	-0.05864003	-0.06	
0.0544	-0.01234953	-0.03173459	-0.0261745	-0.03732379	-0.05870086	-0.06	
0.0546	-0.01239383	-0.03175268	-0.02620023	-0.03733537	-0.05875878	-0.06	
0.0548	-0.01243891	-0.03177133	-0.02622656	-0.03734747	-0.05881394	-0.06	
0.055	-0.01248478	-0.03179054	-0.0262535	-0.03736009	-0.0588665	-0.06	
0.0552	-0.01253147	-0.03181032	-0.02628104	-0.0373732	-0.05891658	-0.06	
0.0554	-0.01257898	-0.03183064	-0.02630918	-0.0373868	-0.05896431	-0.06	
0.0556	-0.01262732	-0.03185151	-0.02633793	-0.03740089	-0.05900982	-0.06	
0.0558	-0.0126765	-0.03187293	-0.02636729	-0.03741545	-0.0590532	-0.06	
0.056	-0.01272654	-0.03189488	-0.02639725	-0.03743048	-0.05909457	-0.06	
0.0562	-0.01277744	-0.03191737	-0.02642784	-0.03744596	-0.05913403	-0.06	
0.0564	-0.01282923	-0.0319404	-0.02645903	-0.0374619	-0.05917167	-0.06	
0.0566	-0.0128819	-0.03196397	-0.02649085	-0.03747829	-0.05920759	-0.06	
0.0568	-0.01293548	-0.03198808	-0.0265233	-0.03749513	-0.05924187	-0.06	
0.057	-0.01298997	-0.03201271	-0.02655637	-0.03751241	-0.05927458	-0.06	
0.0572	-0.01304539	-0.03203789	-0.02659007	-0.03753013	-0.05930582	-0.06	
0.0574	-0.01310175	-0.0320636	-0.02662442	-0.03754829	-0.05933565	-0.06	
0.0576	-0.01315907	-0.03208984	-0.02665941	-0.03756689	-0.05936412	-0.06	
0.0578	-0.01321735	-0.03211663	-0.02669505	-0.03758592	-0.05939132	-0.06	
0.058	-0.0132766	-0.03214397	-0.02673135	-0.03760539	-0.0594173	-0.06	
0.0582	-0.01333684	-0.03217185	-0.0267683	-0.03762529	-0.05944213	-0.06	
0.0584	-0.01339809	-0.03220027	-0.02680592	-0.03764562	-0.05946584	-0.06	
0.0586	-0.01346035	-0.03222924	-0.02684422	-0.03766639	-0.0594885	-0.06	
0.0588	-0.01352363	-0.03225878	-0.0268832	-0.0376876	-0.05951016	-0.06	
0.059	-0.01358797	-0.03228886	-0.02692287	-0.03770924	-0.05953087	-0.06	
0.0592	-0.01365335	-0.03231952	-0.02696323	-0.03773133	-0.05955066	-0.06	
0.0594	-0.0137198	-0.03235073	-0.02700429	-0.03775386	-0.05956959	-0.06	
0.0596	-0.01378733	-0.03238253	-0.02704606	-0.03777683	-0.05958768	-0.06	
0.0598	-0.01385595	-0.03241489	-0.02708855	-0.03780025	-0.05960499	-0.06	
0.06	-0.01392567	-0.03244784	-0.02713176	-0.03782411	-0.05962154	-0.06	
0.0602	-0.01399651	-0.03248137	-0.02717571	-0.03784843	-0.05963738	-0.06	
0.0604	-0.01406849	-0.0325155	-0.02722039	-0.0378732	-0.05965253	-0.06	
0.0606	-0.0141416	-0.03255023	-0.02726582	-0.03789844	-0.05966702	-0.06	
0.0608	-0.01421587	-0.03258556	-0.027312	-0.03792413	-0.05968089	-0.06	
0.061	-0.01429131	-0.03262149	-0.02735895	-0.03795029	-0.05969416	-0.06	
0.0612	-0.01436792	-0.03265804	-0.02740668	-0.03797692	-0.05970686	-0.06	
0.0614	-0.01444574	-0.03269521	-0.02745517	-0.03800403	-0.05971901	-0.06	
0.0616	-0.01452475	-0.03273301	-0.02750446	-0.0380316	-0.05973065	-0.06	
0.0618	-0.01460499	-0.03277143	-0.02755454	-0.03805967	-0.05974178	-0.06	
0.062	-0.01468646	-0.0328105	-0.02760542	-0.03808821	-0.05975245	-0.06	
0.0622	-0.01476916	-0.03285021	-0.02765712	-0.03811725	-0.05976266	-0.06	
0.0624	-0.01485313	-0.03289057	-0.02770964	-0.03814678	-0.05977244	-0.06	
0.0626	-0.01493837	-0.0329316	-0.02776298	-0.03817681	-0.0597818	-0.06	
0.0628	-0.01502488	-0.03297327	-0.02781717	-0.03820735	-0.05979077	-0.06	
0.063	-0.01511269	-0.03301563	-0.0278722	-0.0382384	-0.05979935	-0.06	
0.0632	-0.0152018	-0.03305866	-0.02792807	-0.03826996	-0.05980758	-0.06	
0.0634	-0.01529222	-0.03310238	-0.02798482	-0.03830204	-0.05981546	-0.06	
0.0636	-0.01538397	-0.03314679	-0.02804243	-0.03833465	-0.05982301	-0.06	
0.0638	-0.01547706	-0.03319189	-0.02810092	-0.03836778	-0.05983024	-0.06	
0.064	-0.0155715	-0.03323769	-0.02816029	-0.03840144	-0.05983718	-0.06	
0.0642	-0.0156673	-0.03328421	-0.02822056	-0.03843565	-0.05984382	-0.06	
0.06439999	-0.01576448	-0.03333144	-0.02828173	-0.0384704	-0.05985018	-0.06	
0.0646	-0.01586303	-0.03337939	-0.02834381	-0.0385057	-0.05985628	-0.06	
0.0648	-0.01596298	-0.03342808	-0.02840681	-0.03854156	-0.05986213	-0.06	
0.065	-0.01606433	-0.0334775	-0.02847073	-0.03857798	-0.05986773	-0.06	
0.0652	-0.01616709	-0.03352766	-0.02853559	-0.03861496	-0.0598731	-0.06	
0.0654	-0.01627127	-0.03357857	-0.02860138	-0.03865252	-0.05987824	-0.06	
0.0656	-0.0163769	-0.03363024	-0.02866812	-0.03869065	-0.05988318	-0.06	
0.0658	-0.01648396	-0.03368268	-0.02873583	-0.03872936	-0.05988791	-0.06	
0.066	-0.01659247	-0.03373588	-0.02880449	-0.03876866	-0.05989245	-0.06	
0.0662	-0.01670245	-0.03378985	-0.02887413	-0.03880854	-0.0598968	-0.06	
0.0664	-0.01681389	-0.03384461	-0.02894474	-0.03884903	-0.05990097	-0.06	
0.06659999	-0.0169268	-0.03390015	-0.02901633	-0.03889011	-0.05990496	-0.06	
0.0668	-0.01704121	-0.03395648	-0.02908892	-0.03893181	-0.0599088	-0.06	
0.067	-0.0171571	-0.03401361	-0.0291625	-0.03897411	-0.05991248	-0.06	
0.0672	-0.0172745	-0.03407155	-0.02923708	-0.03901703	-0.059916	-0.06	
0.0674	-0.0173934	-0.03413029	-0.02931268	-0.03906057	-0.05991938	-0.06	
0.0676	-0.01751382	-0.03418985	-0.02938929	-0.03910474	-0.05992262	-0.06	
0.0678	-0.01763576	-0.03425024	-0.02946692	-0.03914955	-0.05992573	-0.06	
0.068	-0.01775922	-0.03431144	-0.02954558	-0.03919498	-0.05992872	-0.06	
0.0682	-0.01788422	-0.03437348	-0.02962528	-0.03924105	-0.05993158	-0.06	
